2021-07-20 18:50:47,Matheus Morandino di Giovanni Carneiro,Matheus Morandino di Giovanni Carneiro,matheus2060@gmail.com,Masculino,,4,,1,3,8,4,8,9,,,,,,4,9,10,10,10,10,10,8,,,,,,,,,
2021-07-20 20:41:30,dawda,Matheus Morandino di Giovanni Carneiro,matheus2060@gmail.com,Masculino,4,4,,,2,1,1,7,7,,,,,,4,5,6,3,9,10,8,9,,,,,,,,,
2021-07-20 21:46:09,Matheus Morandino di Giovanni Carneiro,dawd,matheus2060@gmail.com,Masculino,1,3,,,2,4,6,10,10,,,,,,2,3,4,5,7,8,10,10,,,,,,,,,
2021-07-20 21:54:47,Matheus Morandino di Giovanni Carneiro,darvbftftf,matheus2060@gmail.com,Masculino,5,5,,,2,7,8,10,10,,,,,,1,7,9,10,10,7,9,10,,,,,,,,,
2021-07-20 21:56:55,Matheus Morandino di Giovanni Carneiro,asdfghjkl�,matheus2060@gmail.com,Outro,2,5,,,5,10,10,4,2,,,,,,1,6,6,7,8,8,8,4,,,,,,,,,
2021-07-20 22:12:42,Morandino di Giovanni Carneiro,Morandino di Giovanni Carneiro,matheus2060@gmail.com,Masculino,5,4,,,6,6,7,8,3,,,,,,1,10,6,5,5,6,8,9,,,,,,,,,
2021-07-20 22:21:50,dadwa,Morandino di Giovanni Carneiro,dawd@asda.com,Masculino,4,1,,dawdadada,5,5,7,8,10,dawdaawd,,dadawda,,,2,5,1,6,5,7,7,5,dadaw,,,,,,,,
2021-07-20 22:24:44,Matheus Morandino di Giovanni Carneiro,asdfghjk,matheus2060@gmail.com,Masculino,4,2,dadacfse,dawd,4,4,8,5,5,dawd,dawd,dawda,,,2,4,7,3,4,5,5,5,dadaw,dadaww,,,,,,,
2021-07-20 22:27:49,Matheus Morandino di Giovanni Carneiro,asdfghjk,matheus2060@gmail.com,Masculino,1,4,dwascsc,dawdad,4,7,10,3,4,daw,,,,,4,5,3,2,4,5,10,10,,,,,,,,,
2021-07-20 22:31:29,Morandino di Giovanni Carneiro,Morandino di Giovanni Carneiro,matheus2060@gmail.com,Masculino,2,1,,sadfghjk,2,4,7,10,3,,asdfghnjm,,,,1,6,4,6,5,5,8,9,,,asdfghjk,,asdcvfb,,asdcvfbghjm,,
2021-07-20 22:41:00,Morandino di Giovanni Carneiro,asdfghjnb vfgtgr,matheus2060@gmail.com,Masculino,1,4,asdfgh,asdfghg,7,5,5,3,5,,,,asdfghj,,5,6,7,2,7,6,8,7,,asdfghjk,,,,sadfgh,,,
2021-07-20 22:45:04,Matheus Morandino di Giovanni Carneiro,Matheus Morandino di Giovanni Carneiro,matheus2060@gmail.com,Masculino,1,3,,,2,6,8,3,7,,,,,,3,8,8,10,10,2,6,8,,,,,,,,,
2021-07-20 22:49:04,Matheus,asdfgh,matheus2060@gmail.com,Outro,1,4,,,8,2,10,7,6,,,,,,5,7,4,6,4,8,1,10,,,,,,,,,
2021-07-20 22:51:07,Morandino di Giovanni Carneiro,Morandino di Giovanni Carneiro,matheus2060@gmail.com,Masculino,2,3,,,4,8,4,4,8,,,,,,5,7,9,9,6,7,8,1,,,,,,,,,
2021-07-20 22:54:24,Matheus Morandino di Giovanni Carneiro,Matheus Morandino di Giovanni Carneiro,matheus2060@gmail.com,Masculino,1,1,,,4,6,8,9,3,,,,,,4,6,4,5,6,6,5,5,,,,,,,,,
2021-07-20 23:11:55,Matheus Morandino di Giovanni Carneiro,sadfghjk,matheus2060@gmail.com,Masculino,1,1,asdfghj,asdfghj,4,5,7,8,10,asdfghjk,,,,,5,4,3,2,8,9,7,9,,,,,,,,,
2021-07-20 23:17:58,Matheus Morandino di Giovanni Carneiro,Matheus Morandino di Giovanni Carneiro,matheus2060@gmail.com,Masculino,1,4,,,5,6,2,8,7,,,,,,5,6,5,6,6,7,9,5,,,,,,,,,
2021-07-20 23:20:45,Morandino di Giovanni Carneiro,Morandino di Giovanni Carneiro,matheus2060@gmail.com,Masculino,2,1,,,7,3,8,5,8,,,,,,6,4,6,9,6,6,3,6,,,,,,,,,
2021-07-20 23:25:06,Matheus Morandino di Giovanni Carneiro,asdfghjk,matheus2060@gmail.com,Masculino,1,4,,,6,5,6,6,6,,,,,,5,7,5,6,8,5,6,5,,,,,,,,,
2021-07-20 23:29:24,Matheus Morandino di Giovanni Carneiro,asdadsfsdf,matheus2060@gmail.com,Masculino,1,4,,,4,10,6,6,6,,,,,,5,7,9,3,6,8,7,5,,,,,,,,,
2021-07-20 23:35:42,Matheus Morandino di Giovanni Carneiro,Matheus Morandino di Giovanni Carneiro,matheus2060@gmail.com,Masculino,5,2,,,4,6,5,4,7,,,,,,7,7,9,10,8,4,7,5,,,,,,,,,
2021-07-20 23:38:09,Morandino di Giovanni Carneiro,Morandino di Giovanni Carneiro,matheus2060@gmail.com,Masculino,2,4,,,3,3,5,5,9,,,,,,3,3,8,3,6,7,10,6,,,,,,,,,
